Ticker,close,date,high,low,month,open,volume,Sector
HINDALCO,527.45,2023-12-12 05:30:00,538.5,522.15,2023-12,525.0,9498031,Metals
HINDALCO,532.85,2023-12-13 05:30:00,535.25,523.3,2023-12,528.95,4000017,Metals
HINDALCO,543.1,2023-12-14 05:30:00,545.95,537.25,2023-12,540.0,7190654,Metals
HINDALCO,557.25,2023-12-15 05:30:00,559.05,548.2,2023-12,556.0,8191005,Metals
HINDALCO,566.4,2023-12-18 05:30:00,567.4,551.5,2023-12,557.0,5076184,Metals
HINDALCO,564.85,2023-12-19 05:30:00,567.95,555.7,2023-12,567.95,4484733,Metals
HINDALCO,548.2,2023-12-20 05:30:00,570.9,546.25,2023-12,569.5,6959868,Metals
HINDALCO,556.25,2023-12-21 05:30:00,561.65,541.65,2023-12,544.0,4591119,Metals
HINDALCO,570.45,2023-12-22 05:30:00,572.0,559.0,2023-12,559.4,7865384,Metals
HINDALCO,579.85,2023-12-26 05:30:00,580.85,570.5,2023-12,574.95,4649730,Metals
HINDALCO,605.6,2023-12-27 05:30:00,607.65,580.3,2023-12,582.0,12430827,Metals
HINDALCO,614.3,2023-12-28 05:30:00,616.5,605.2,2023-12,608.0,7139743,Metals
HINDALCO,614.85,2023-12-29 05:30:00,618.0,608.1,2023-12,614.3,3995822,Metals
HINDALCO,610.4,2024-01-01 05:30:00,620.5,606.95,2024-01,614.5,2961919,Metals
HINDALCO,617.0,2024-01-02 05:30:00,620.0,607.4,2024-01,610.4,4975013,Metals
HINDALCO,593.05,2024-01-03 05:30:00,611.4,592.0,2024-01,608.25,7226455,Metals
HINDALCO,590.5,2024-01-04 05:30:00,595.85,587.65,2024-01,594.0,6592370,Metals
HINDALCO,587.0,2024-01-05 05:30:00,597.6,581.55,2024-01,590.6,2990123,Metals
HINDALCO,577.65,2024-01-08 05:30:00,592.5,576.45,2024-01,587.0,4425767,Metals
HINDALCO,575.95,2024-01-09 05:30:00,584.9,573.6,2024-01,581.95,5314029,Metals
HINDALCO,580.05,2024-01-10 05:30:00,582.0,570.65,2024-01,576.0,2408792,Metals
